18q,18q21,191
10q,10q22,202
5p,5p13,138
15q,15q12,16
17q,17q24,99
22q,22q12,213
13q,13q21,115
4p,4p13,29
5q,5q15,62
12q,12q23,145
2q,2q24,126
6p,6p11,18
11q,11q22,107
11q,11q23,200
2q,2q14,145
12p,12p11,82
7p,7p11,84
3q,3q21,141
1q,1q42,228
9p,9p12,24
4q,4q27,27
16q,16q12,91
17p,17p12,69
5q,5q34,40
15q,15q22,134
9q,9q31,133
Yp,Yp11,141
22p,22p11,16
6q,6q23,106
6p,6p23,16
8q,8q24,328
14p,14p12,5
2q,2q11,144
13q,13q34,83
7p,7p13,53
7q,7q21,166
12p,12p12,111
5q,5q12,61
11p,11p14,64
Xq,Xq13,150
18p,18p11,196
3q,3q13,194
8p,8p11,94
7p,7p14,160
2p,2p13,135
1q,1q31,77
4p,4p15,128
9q,9q13,51
9p,9p23,21
15q,15q15,144
12q,12q21,138
1p,1p21,106
17p,17p13,343
4q,4q25,88
Xq,Xq22,158
14p,14p13,2
9q,9q34,311
1q,1q23,256
15q,15q11,218
13q,13q14,244
"","",272
14q,14q21,90
2q,2q37,212
18q,18q12,101
16p,16p11,264
8q,8q21,177
9p,9p24,111
2q,2q32,103
22q,22q13,300
3q,3q25,152
7q,7q36,164
21p,21p11,58
21p,21p12,15
3p,3p23,10
1p,1p22,140
8p,8p23,219
5q,5q35,233
5q,5q21,66
4q,4q13,150
6q,6q26,18
11q,11q11,45
5p,5p12,29
3q,3q27,119
1q,1q25,180
11p,11p11,144
1q,1q24,133
9q,9q33,131
16q,16q22,186
20q,20q12,24
13q,13q32,103
3p,3p22,170
15q,15q14,58
10p,10p15,84
8q,8q11,69
6p,6p12,126
1p,1p13,213
2q,2q12,72
8q,8q12,81
2q,2q35,122
1q,1q32,285
11p,11p12,24
3q,3q28,32
18q,18q23,37
4q,4q12,82
14q,14q12,103
16q,16q21,74
6q,6q11,6
1p,1p11,22
16q,16q24,126
13p,13p12,5
10q,10q25,126
2q,2q34,45
5q,5q31,295
6p,6p24,62
11q,11q13,429
2q,2q36,83
22p,22p12,5
3p,3p14,129
13q,13q13,85
7q,7q32,96
10q,10q26,197
9p,9p21,126
21q,21q22,356
11q,11q24,176
4q,4q35,105
7q,7q35,65
6p,6p25,84
2p,2p23,146
1p,1p31,222
7q,7q33,52
13q,13q12,237
19q,19q11,5
12q,12q11,1
14q,14q23,133
4q,4q21,131
6p,6p22,503
4q,4q32,117
13q,13q11,28
19p,19p13,786
12q,12q24,402
20q,20q11,245
2p,2p14,55
4p,4p11,18
9q,9q12,11
Xq,Xq28,195
Xq,Xq27,81
4q,4q22,70
2q,2q33,197
20p,20p12,110
Xp,Xp22,228
5q,5q23,117
6q,6q15,50
1p,1p35,135
3p,3p12,70
7q,7q34,200
9p,9p22,54
1q,1q21,459
3p,3p25,154
Xq,Xq12,25
15q,15q13,80
13q,13q31,101
15q,15q24,117
10p,10p12,143
1q,1q12,1
7p,7p36,1
2q,2q31,163
12q,12q14,111
10q,10q23,193
10q,10q11,185
5p,5p14,36
11q,11q21,59
3q,3q22,120
4q,4q23,34
7p,7p22,120
14q,14q32,572
14p,14p11,4
6q,6q25,153
2q,2q23,51
17q,17q23,119
5q,5q33,119
1q,1q44,125
16q,16q23,96
14q,14q31,60
8p,8p12,72
3p,3p11,25
6q,6q24,75
5q,5q11,86
3p,3p24,109
17q,17q12,159
5p,5p15,182
14q,14q13,63
16p,16p12,154
17q,17q22,75
20p,20p11,141
16q,16q11,12
7q,7q31,131
20p,20p13,121
8q,8q22,159
9q,9q21,193
21q,21q11,48
2p,2p24,77
11q,11q14,151
7p,7p15,100
11q,11q25,30
4q,4q24,56
3p,3p21,313
8q,8q23,50
1q,1q41,93
5q,5q32,75
11p,11p13,62
6q,6q16,52
10q,10q24,185
15q,15q25,161
4p,4p16,208
12p,12p13,356
6q,6q21,128
9q,9q22,190
1p,1p33,61
1p,1p34,282
12q,12q22,50
2p,2p15,36
1q,1q22,72
3q,3q29,127
2q,2q22,67
15q,15q21,175
13q,13q22,59
3q,3q11,51
14q,14q24,197
7q,7q11,260
17q,17q25,291
1q,1q43,72
1p,1p32,157
10q,10q21,115
11q,11q12,337
Xq,Xq24,75
2p,2p16,111
2p,2p22,90
3p,3p26,46
16q,16q13,38
Yq,Yq11,343
9p,9p13,180
1q,1q13,1
18q,18q22,58
6p,6p21,511
Xq,Xq26,155
20q,20q13,402
1p,1p12,46
4p,4p14,65
7p,7p21,72
10p,10p13,60
3q,3q23,57
13q,13q33,57
8q,8q13,85
10p,10p14,50
15q,15q23,66
7q,7q22,219
6q,6q14,99
Xp,Xp21,69
16p,16p13,423
17q,17q11,162
Xq,Xq25,41
Xq,Xq11,26
4q,4q26,60
7p,7p12,59
22q,22q11,403
8p,8p21,124
6q,6q13,59
Yq,Yq12,4
Xq,Xq23,80
Xq,Xq21,117
17p,17p11,205
Xp,Xp11,352
8p,8p22,43
4q,4q34,55
2p,2p11,199
2q,2q13,60
11p,11p15,544
9p,9p11,50
17q,17q21,462
3q,3q24,48
1p,1p36,690
4q,4q28,80
6q,6q22,127
9q,9q32,49
19q,19q12,23
19q,19q13,1205
11q,11q1,2
15p,15p12,5
4q,4q31,153
15q,15q26,183
6q,6q27,64
3p,3p13,42
21q,21q21,120
18q,18q11,80
12q,12q13,410
2p,2p21,78
12q,12q12,61
2q,2q21,159
2p,2p25,115
2p,2p12,49
6q,6q12,21
14q,14q11,349
3q,3q12,50
12q,12q15,55
10p,10p11,126
5q,5q14,130
4q,4q33,13
19p,19p12,118
5q,5q13,143
4p,4p12,26
3q,3q26,188
5q,5q22,54
14q,14q22,91
