7,7q,1353
3,3p,1068
X,Xp,649
20,20p,372
5,5p,385
4,4p,474
20,20q,671
16,16p,841
Y,Yq,347
14,14p,11
12,12q,1373
Y,Yp,141
"","",272
11,11q,1536
3,3q,1279
21,21q,524
18,18q,467
12,12p,549
17,17q,1367
8,8q,949
7,7p,649
19,19q,1233
4,4q,1221
6,6p,1320
17,17p,617
6,6q,958
13,13q,1112
16,16q,623
10,10p,463
9,9q,1069
10,10q,1203
1,1p,2074
13,13p,5
X,Xq,1103
15,15q,1352
14,14q,1658
2,2p,1091
5,5q,1481
9,9p,566
11,11p,838
2,2q,1749
22,22p,21
1,1q,1982
22,22q,916
18,18p,196
21,21p,73
19,19p,904
8,8p,552
15,15p,5
